DistrictID,Autism,Kstudent,Rate,Area_km,LC11,LC21,LC2B,LC31,LC4,LC52,LC71,LC8,LC9,Avecanopy,Prdcan100,Prdcan50,Roadensity,Rd4,Pop,Popm,Popf,Malep,Femalep,Popden,Age19l,Age65m,Whitep,Blackp,Asisanp,Vehicle0,Unemploy,Income_median,Income_sd_median,RLC2b,RLC4,RLC71,Rcanopy,Rroadcan100,Rroadcan50,LC1106,LC2106,LC2B06,LC3106,LC406,LC5206,LC7106,LC806,LC906,RLC2B06,RLC406,RLC7106
11,0,223,0.00,301.9,0.04,3.8,1.25,0.32,0,0.27,10.67,83.61,0.04,0.45,0.53,0.15,0.280,2,2094,1112,982,53.10,46.90,6.94,38.25,7.83,91.4,0.62,2.67,3.3,5.2,30795,3.0795,0.125,0,1.067,0.045,0.053,0.015,0.03,3.81,1.25,0.32,0.01,0.24,10.65,83.69,0.01,0.125,0.001,1.065
12,0,135,0.00,18.1,0,6.86,2.57,0.04,0,0,0.02,90.51,0,0,0,0,0.782,3,461,228,233,49.46,50.54,25.47,34.27,18.44,57.48,2.17,17.57,2.26,6.35,42500,4.25,0.257,0,0.002,0,0,0,0,6.8,2.55,0.04,0,0,0.02,90.59,0,0.255,0,0.002
13,0,253,0.00,100.3,0.05,3.65,1.85,0.08,0,0,0.17,94.2,0,0.05,0,0,0.238,2,2161,1173,988,54.28,45.72,21.55,31.24,12.26,76.21,2.64,7.64,3.57,8.42,48250,4.825,0.185,0,0.017,0.005,0,0,0.05,3.61,1.82,0.08,0,0,0.17,94.28,0,0.182,0,0.017
14,197,16521,11.92,54.9,0.48,2.5,96.67,0.02,0.03,0,0.27,0,0.02,0.13,0.18,0.2,3.756,4,194342,99925,94417,51.42,48.58,3539.93,33.87,7.6,63.35,2.55,11.51,6.38,8.69,51401,5.1401,9.667,0.003,0.027,0.013,0.018,0.02,0.47,2.71,96.34,0.03,0.03,0,0.4,0,0.02,9.634,0.003,0.04
15,3,400,7.50,105.5,1.49,3.43,3.22,0.42,1.08,6.31,66.7,16.41,0.94,5.11,1.82,0.98,0.157,2,6863,3169,3694,46.18,53.82,65.05,27,17.76,88.77,2.36,2.74,5.29,7.05,35502,3.5502,0.322,0.108,6.67,0.511,0.182,0.098,1.47,3.47,3.11,0.42,1.07,6.29,66.32,16.92,0.93,0.311,0.107,6.632
16,5,615,8.13,61.5,21.7,6.86,10.3,2.23,33.04,3.47,6.93,9.19,6.27,33.8,15.95,14.65,0.931,4,13568,6983,6585,51.47,48.53,220.62,21.31,8.03,87.47,3.52,4.36,10.94,11.29,29581,2.9581,1.03,3.304,0.693,3.38,1.595,1.465,21.71,6.96,10.2,2.33,33.1,3.4,6.87,9.17,6.26,1.02,3.31,0.687
17,2,271,7.38,302.7,0.93,4.17,0.41,0.92,0.31,0.01,55.35,35.45,2.44,0.81,0.6,0.44,0.172,2,4149,2169,1980,52.28,47.72,13.71,26.56,12.68,80.81,0,2.05,0.49,5.19,84592,8.4592,0.041,0.031,5.535,0.081,0.06,0.044,0.93,4.17,0.41,0.93,0.32,0.01,55.37,35.44,2.42,0.041,0.032,5.537
18,1,201,4.98,390.7,0.23,5.72,0.53,0.06,82.49,5.32,4.25,0.32,1.09,66.23,25.05,25.71,0.069,1,3185,1579,1606,49.58,50.42,8.15,26.44,12.4,88.92,0,0.97,1.18,7.02,50407,5.0407,0.053,8.249,0.425,6.623,2.505,2.571,0.23,5.72,0.53,0.06,82.56,5.29,4.23,0.31,1.08,0.053,8.256,0.423
19,13,1045,12.44,130.2,0.06,3.42,3.59,0.5,0,0.01,5.71,86.7,0,0.01,0.01,0,0.448,3,5727,3079,2648,53.76,46.24,43.99,36.91,8.12,74.96,6.81,3.54,8.62,14.03,44339,4.4339,0.359,0,0.571,0.001,0.001,0,0.01,3.39,3.42,0.51,0,0.01,5.72,86.94,0,0.342,0,0.572
20,6,2284,2.63,816.8,0.13,3.02,0.86,2.04,10.37,20.95,38.42,23.98,0.23,8.3,0.42,0.08,0.029,1,15222,7972,7250,52.37,47.63,18.64,47.25,5.28,54.95,0.39,0.99,9.87,14.14,32738,3.2738,0.086,1.037,3.842,0.83,0.042,0.008,0.09,3.02,0.82,2.02,10.41,20.9,38.29,24.21,0.23,0.082,1.041,3.829
21,14,3009,4.65,117,0.11,8.73,15.29,0.62,0,0.01,12.25,62.83,0.16,0.55,0.17,0.05,0.491,3,31505,16124,15381,51.18,48.82,269.27,34.34,10.58,69.05,5.85,6.5,6.37,14.85,43395,4.3395,1.529,0,1.225,0.055,0.017,0.005,0.11,8.93,14.32,0.65,0,0.01,12.32,63.55,0.11,1.432,0,1.232
22,13,1415,9.19,157.2,1.05,5.87,11.39,0,46.16,3.04,31.56,0.92,0.03,32.99,26.14,24.49,0.426,3,33084,15960,17124,48.24,51.76,210.46,22.33,19.73,90.69,1.2,2.95,5.99,5.13,55496,5.5496,1.139,4.616,3.156,3.299,2.614,2.449,0.88,5.7,10.99,0,46.5,3.15,31.85,0.92,0.02,1.099,4.65,3.185
23,88,18849,4.67,388.7,0.5,6.11,21.32,1.13,0.02,1.92,63.24,4.73,1.04,0.37,0.25,0.11,0.784,4,178782,89134,89648,49.86,50.14,459.95,36.88,9.58,52.23,9.51,2.09,11.45,13.14,36120,3.612,2.132,0.002,6.324,0.037,0.025,0.011,0.5,6.18,20.56,1.23,0.02,1.92,63.66,4.9,1.04,2.056,0.002,6.366
24,1,101,9.90,17,0,15.82,3.11,0,3.68,13.73,40.04,23.61,0,6.3,4.29,3.35,0.309,3,1390,695,695,50.00,50.00,81.76,26.62,14.03,93.96,1.08,2.16,0,1.99,113625,11.3625,0.311,0.368,4.004,0.63,0.429,0.335,0,15.83,3.1,0,3.69,13.59,40.15,23.64,0,0.31,0.369,4.015
25,0,200,0.00,149.9,0.25,3.4,1.42,0.58,0,0.06,5.56,88.12,0.62,3.65,1.83,0.83,0.258,2,2008,968,1040,48.21,51.79,13.40,31.92,15.79,71.17,0.15,11.9,1.79,7.24,65250,6.525,0.142,0,0.556,0.365,0.183,0.083,0.25,3.37,1.4,0.58,0,0.05,5.52,88.23,0.61,0.14,0,0.552
26,0,83,0.00,103.7,0.02,2.02,0.12,0,55.06,0.4,42.36,0.02,0,29.65,21.5,20.51,0.268,2,1172,535,637,45.65,54.35,11.30,29.18,21.08,91.98,0,3.67,0.96,11.18,43750,4.375,0.012,5.506,4.236,2.965,2.15,2.051,0.02,2.01,0.12,0,55.1,0.36,42.36,0.02,0,0.012,5.51,4.236
27,0,182,0.00,96.7,1.61,3.47,6.51,0.21,0,0,0.67,85.85,1.67,0.37,0.17,0.08,0.590,3,4922,4402,520,89.44,10.56,50.90,8.51,2.76,56.81,21.6,2.48,2.88,6.82,66250,6.625,0.651,0,0.067,0.037,0.017,0.008,1.47,3.13,5.24,0.66,0,0,0.69,87.11,1.7,0.524,0,0.069
28,6,575,10.43,726.1,0.69,1.52,0.62,1.48,78.29,13.75,3.56,0.01,0.08,55.33,51.39,48.03,0.109,1,13027,6506,6521,49.94,50.06,17.94,20.48,22.1,95.24,1.57,2.13,1.8,7.27,49504,4.9504,0.062,7.829,0.356,5.533,5.139,4.803,0.69,1.52,0.62,1.48,78.66,13.52,3.43,0.01,0.08,0.062,7.866,0.343
29,1,272,3.68,4.3,2.34,10.81,84.61,0,0.74,0.18,1.32,0,0,2.85,1.53,1.12,1.742,4,6031,3085,2946,51.15,48.85,1402.56,29.9,9.34,22.12,7.96,62.1,3.86,12.76,91875,9.1875,8.461,0.074,0.132,0.285,0.153,0.112,2.34,11.17,84.26,0,0.74,0.18,1.32,0,0,8.426,0.074,0.132
30,4,1209,3.31,85.2,0.28,9.07,20.09,0.34,0,0.01,49.82,20.22,0.17,0.49,0.09,0.03,0.857,4,17646,9326,8320,52.85,47.15,207.11,27.92,9.79,86.95,2.58,2.73,13.28,15.24,30964,3.0964,2.009,0,4.982,0.049,0.009,0.003,0.28,8.83,19.22,0.54,0,0.01,49.98,21,0.14,1.922,0,4.998
31,0,250,0.00,234.5,4.51,2.78,0.48,0.03,27.13,22.1,28.71,14.16,0.11,25.37,18.59,16.22,0.118,1,3823,1843,1980,48.21,51.79,16.30,26.29,13.81,97.62,2.41,0.81,2.83,8.24,51287,5.1287,0.048,2.713,2.871,2.537,1.859,1.622,4.51,2.78,0.48,0.03,28.33,20.2,29.41,14.16,0.11,0.048,2.833,2.941
32,1,78,12.82,39.8,0,3.17,0.4,0,85.9,9.67,0.86,0,0,73.02,61.05,56.88,0.031,1,1585,831,754,52.43,47.57,39.82,19.68,19.31,94.7,1.7,0.82,0.57,6.7,57177,5.7177,0.04,8.59,0.086,7.302,6.105,5.688,0,3.17,0.4,0,86.03,9.54,0.85,0,0,0.04,8.603,0.085
33,13,1549,8.39,58.8,0,12.02,21.69,0.01,5.75,4.45,20.53,35.37,0.19,5.24,1.24,1.52,0.953,4,21800,11095,10705,50.89,49.11,370.75,33.56,5.12,68.91,5.18,7.09,4.41,8.18,52865,5.2865,2.169,0.575,2.053,0.524,0.124,0.152,0.01,12.02,20.99,0.01,5.75,4.46,20.87,35.7,0.18,2.099,0.575,2.087
34,47,2229,21.09,30.2,8.06,18.11,49.18,0.24,7.92,3.16,2.09,0.23,11,16.83,14.66,11.16,1.101,4,38953,18976,19977,48.72,51.28,1289.83,22.88,12.79,72.72,1.93,26.2,2.6,5.39,102348,10.2348,4.918,0.792,0.209,1.683,1.466,1.116,8.07,18.38,48.9,0.24,7.91,3.16,2.08,0.23,11.03,4.89,0.791,0.208
35,0,22,0.00,342.1,0.29,7.11,1.56,16.43,0,0.07,37.2,37.35,0,0.13,0.3,0.28,0.136,1,119,63,56,52.94,47.06,0.35,43.7,13.45,68.91,0,0,0,11.32,48438,4.8438,0.156,0,3.72,0.013,0.03,0.028,0.36,7.09,1.54,16.36,0,0.07,37.14,37.45,0,0.154,0,3.714
36,0,46,0.00,204.4,1.7,2.91,0.47,0.44,3.03,7.39,76.84,5.6,1.62,6.28,6.56,5.44,0.209,2,1205,581,624,48.22,51.78,5.90,31.04,18.84,92.12,0.66,1,1.61,4.09,68140,6.814,0.047,0.303,7.684,0.628,0.656,0.544,1.7,2.91,0.46,0.43,3.02,7.38,76.47,6,1.62,0.046,0.302,7.647
37,5,813,6.15,46.9,0.13,11.64,5.64,0,22.9,19.39,37.79,2.26,0.25,24.21,18.48,19.5,0.430,3,9599,4412,5187,45.96,54.04,204.67,21.98,16.07,89.69,0.78,5.13,3.73,5.29,68605,6.8605,0.564,2.29,3.779,2.421,1.848,1.95,0.15,11.68,5.58,0,22.89,19.41,37.8,2.27,0.24,0.558,2.289,3.78
38,69,5372,12.84,35.9,0.06,9.66,61.1,0,6.39,1.08,21.7,0,0,5.15,1.21,1.23,2.278,4,80961,41131,39830,50.80,49.20,2255.18,26.66,9.43,26.8,3.73,61.8,3.53,8.38,89186,8.9186,6.11,0.639,2.17,0.515,0.121,0.123,0.06,9.71,61.03,0,6.4,1.08,21.72,0,0,6.103,0.64,2.172
39,0,24,0.00,2066.3,2.12,0.15,0.03,15.67,54.07,23.78,3.75,0,0.35,31.1,50.69,47.35,0.018,1,565,307,258,54.34,45.66,0.27,29.56,9.56,100,0,0,1.21,0.9,94583,9.4583,0.003,5.407,0.375,3.11,5.069,4.735,2.14,0.15,0.03,15.67,54.08,23.76,3.75,0,0.35,0.003,5.408,0.375
40,0,30,0.00,239.5,4.05,1.56,0.22,2.37,82.22,5.19,3.3,0.04,1.04,73.73,57.37,52.08,0.122,1,551,265,286,48.09,51.91,2.30,25.41,17.97,83.67,0,1.27,3.38,12.26,47292,4.7292,0.022,8.222,0.33,7.373,5.737,5.208,4.05,1.56,0.23,1.38,85.42,4.14,2.14,0.04,1.04,0.023,8.542,0.214
41,0,51,0.00,228.7,0.74,3.17,2.46,1.02,11.58,44.87,17.37,18.66,0.13,4.23,2.45,1.7,0.211,2,1478,764,714,51.69,48.31,6.46,20.43,17.79,91.47,0.88,5.55,2.71,9.88,46958,4.6958,0.246,1.158,1.737,0.423,0.245,0.17,0.75,3.18,2.44,1.02,11.86,44.66,17.82,18.25,0.03,0.244,1.186,1.782
42,3,791,3.79,2496.7,0.17,1.02,0.29,4.34,10.99,75.98,3.41,2.22,1.56,4.65,0.58,0.46,0.050,1,11686,5699,5987,48.77,51.23,4.68,26.12,16.31,76.15,0.06,1.63,6.54,7.08,46199,4.6199,0.029,1.099,0.341,0.465,0.058,0.046,0.17,1.02,0.29,4.33,11.04,76.2,3.09,2.27,1.56,0.029,1.104,0.309
43,0,17,0.00,717.7,0.33,2.45,0.12,0.89,13.77,51.9,27.86,2.13,0.55,12.12,2.85,2.01,0.036,1,114,64,50,56.14,43.86,0.16,17.54,28.07,100,0,0,2.67,3.85,46875,4.6875,0.012,1.377,2.786,1.212,0.285,0.201,0.33,2.44,0.12,0.84,13.82,51.94,27.83,2.13,0.54,0.012,1.382,2.783
44,0,137,0.00,483.6,0.2,1.25,0.12,1.48,65.14,23.28,7.75,0.09,0.68,44.05,45.47,41.07,0.122,1,4610,2307,2303,50.04,49.96,9.53,15.12,27.03,97.48,0,0.87,2.26,10.46,42325,4.2325,0.012,6.514,0.775,4.405,4.547,4.107,0.2,1.25,0.13,1.48,66.95,22.6,6.63,0.09,0.67,0.013,6.695,0.663
45,0,5,0.00,300.2,0,1.1,0.01,0.01,5.19,9.71,83.96,0,0,6.5,6.64,6.03,0.142,1,217,108,109,49.77,50.23,0.72,17.51,25.35,89.4,10.6,0,0,2,72250,7.225,0.001,0.519,8.396,0.65,0.664,0.603,0,1.1,0.01,0.01,5.19,9.71,83.97,0,0,0.001,0.519,8.397
46,2,193,10.36,673.6,0.16,3.66,0.22,0.29,21.9,49.71,14.05,8.56,1.46,19.4,7.02,5.62,0.053,1,846,436,410,51.54,48.46,1.26,20.09,15.13,93.62,0.83,0.83,0.56,2.98,66250,6.625,0.022,2.19,1.405,1.94,0.702,0.562,0.16,3.66,0.22,0.29,21.92,49.76,13.99,8.55,1.46,0.022,2.192,1.399
47,6,107,56.07,312.7,0.22,2.38,0.62,0.69,76.4,13.54,5.5,0.41,0.25,75.12,57.94,52.02,0.151,2,2510,1257,1253,50.08,49.92,8.03,20.84,10.64,92.23,0.84,0.64,1.3,2.64,52708,5.2708,0.062,7.64,0.55,7.512,5.794,5.202,0.21,2.39,0.62,0.44,77.19,13.41,5.09,0.41,0.25,0.062,7.719,0.509
48,0,8,0.00,225.6,1.45,0.85,0.23,1.75,37.96,34.43,22.07,1.21,0.06,32.34,,,0.000,1,396,188,208,47.47,52.53,1.76,18.43,31.57,79.29,0,4.29,6.17,20,41875,4.1875,0.023,3.796,2.207,3.234,,,1.46,0.85,0.22,1.75,38.16,34.16,22.13,1.23,0.05,0.022,3.816,2.213
49,0,76,0.00,101,4.22,6.02,2.28,0.49,57.66,12.95,14.53,0,1.87,57.98,43.17,42.63,0.342,3,1674,981,693,58.60,41.40,16.57,13.8,14.28,89.73,0,7.23,1.42,6.07,69591,6.9591,0.228,5.766,1.453,5.798,4.317,4.263,4.22,5.97,2.28,0.49,57.7,12.95,14.53,0,1.86,0.228,5.77,1.453
50,3,103,29.13,75.2,0.05,6.79,0.11,0.3,84.24,4.21,3.89,0.36,0.05,71.8,68.2,68.67,0.410,3,3058,1574,1484,51.47,48.53,40.66,21.19,8.57,93.59,2.39,3.04,0,5.1,87550,8.755,0.011,8.424,0.389,7.18,6.82,6.867,0.05,6.79,0.11,0.3,84.25,4.2,3.89,0.36,0.05,0.011,8.425,0.389
51,16,1404,11.40,181.8,0.14,16.08,7.66,0.4,0.68,40.97,5,26.71,2.34,2.68,1.65,1.36,0.522,3,14522,7687,6835,52.93,47.07,79.88,26.79,15.91,78.95,4.32,6.95,1.67,6.25,77695,7.7695,0.766,0.068,0.5,0.268,0.165,0.136,0.14,16.12,7.23,0.39,0.72,41.09,4.98,26.98,2.35,0.723,0.072,0.498
52,0,37,0.00,554.8,1.59,6.59,0.39,1.7,6.62,26.27,48.94,6.08,1.8,6.51,2.78,1.85,0.214,2,429,244,185,56.88,43.12,0.77,31.24,6.53,93.94,0,0,1.6,1.72,82829,8.2829,0.039,0.662,4.894,0.651,0.278,0.185,1.59,6.6,0.39,1.65,6.69,26.47,48.8,6.02,1.8,0.039,0.669,4.88
53,7,2595,2.70,234.5,1.03,2.29,8.36,6.24,0.27,9.37,0.04,70.13,2.27,0.06,0.02,0.01,0.318,3,22990,11072,11918,48.16,51.84,98.04,36.37,10.96,74.4,3.52,2.32,12.64,13.04,35794,3.5794,0.836,0.027,0.004,0.006,0.002,0.001,1.29,2.22,8.13,6.13,0.18,9.53,0.04,70.27,2.21,0.813,0.018,0.004
54,48,5376,8.93,146.9,0.1,8.14,18.31,0.2,10.98,1.05,49.09,11.65,0.49,6.45,1.55,1.01,0.719,3,50058,24508,25550,48.96,51.04,340.76,35.24,10.09,74.48,7.66,9.21,1.1,5.63,89169,8.9169,1.831,1.098,4.909,0.645,0.155,0.101,0.1,8.48,17.4,0.4,10.97,1.05,49.12,12.04,0.44,1.74,1.097,4.912
55,1,24,41.67,792.9,0.27,1.19,0.01,0.18,66.95,18.71,12.67,0,0.01,67.84,59.3,56.3,0.088,1,545,288,257,52.84,47.16,0.69,27.16,6.24,88.62,0,0.37,0,10.14,33650,3.365,0.001,6.695,1.267,6.784,5.93,5.63,0.26,1.19,0.02,0.16,67.24,18.52,12.59,0,0.01,0.002,6.724,1.259
56,1,293,3.41,57.6,0.13,9.43,4.47,0.34,3.76,36.1,10.67,32.4,2.69,2.93,0.09,0.03,0.406,3,4050,2385,1665,58.89,41.11,70.31,20.32,10.84,59.48,0.37,1.75,4.19,7.82,52708,5.2708,0.447,0.376,1.067,0.293,0.009,0.003,0.13,9.52,4.38,0.34,3.77,36.17,10.6,32.42,2.68,0.438,0.377,1.06
57,1,378,2.65,12.8,3.13,15.17,34.74,0,27.77,6.58,12.61,0,0,21.21,11.92,8.32,1.336,4,7050,3482,3568,49.39,50.61,550.78,22.57,11.06,49.09,3.9,37.57,4.65,6.49,84247,8.4247,3.474,2.777,1.261,2.121,1.192,0.832,3.13,15.18,34.44,0,27.78,6.59,12.89,0,0,3.444,2.778,1.289
58,3,283,10.60,163.1,0.26,4.08,2.13,0.48,2.38,5.98,47.91,33.74,3.02,2.86,0.19,0.1,0.303,3,4237,1989,2248,46.94,53.06,25.98,33.96,10.83,94.41,4.04,1.96,4.71,10.11,66149,6.6149,0.213,0.238,4.791,0.286,0.019,0.01,0.22,4.1,2.11,0.48,2.39,5.97,47.95,33.75,3.01,0.211,0.239,4.795
59,0,106,0.00,84.4,0,5.31,0.55,0.01,0,0.02,2.73,87.05,4.31,4.29,8.38,8.87,0.312,3,854,436,418,51.05,48.95,10.12,23.65,14.99,97.78,0.59,1.17,2.59,2.08,84844,8.4844,0.055,0,0.273,0.429,0.838,0.887,0,5.3,0.56,0.01,0,0,2.75,87.08,4.3,0.056,0,0.275
60,20,3341,5.99,147.3,0.21,8.96,12.28,1.22,30.95,11.85,34.49,0.05,0,27.5,12.74,10.52,0.567,3,35178,17079,18099,48.55,51.45,238.82,30.64,9.4,87.34,0.62,11.52,1.6,6.5,94776,9.4776,1.228,3.095,3.449,2.75,1.274,1.052,0.21,8.71,11.07,1.49,31.24,12.03,35.2,0.06,0,1.107,3.124,3.52
61,7,478,14.64,175.9,0.03,5.75,1.97,0.08,24.12,34.91,23.53,7.85,1.75,21.61,5.31,3.99,0.250,2,5086,2539,2547,49.92,50.08,28.91,27.68,11.84,83.05,0,3.83,5.21,3.28,74403,7.4403,0.197,2.412,2.353,2.161,0.531,0.399,0.04,5.79,1.9,0.07,24.16,34.88,23.49,7.93,1.75,0.19,2.416,2.349
62,36,3640,9.89,18.6,0.09,6.52,92.82,0,0,0.06,0.52,0,0,0.49,0.41,0.38,4.883,4,47703,24004,23699,50.32,49.68,2564.68,31.29,8.6,44.95,6.48,26.91,4.99,7.41,56909,5.6909,9.282,0,0.052,0.049,0.041,0.038,0.09,6.62,92.55,0.1,0,0.06,0.59,0,0,9.255,0,0.059
63,0,115,0.00,55.7,0.06,2.6,0.7,0.09,0,0,0.34,96.18,0.03,0.01,0,0,0.080,1,463,264,199,57.02,42.98,8.31,38.01,7.13,70.19,0,0,2.24,4.29,40682,4.0682,0.07,0,0.034,0.001,0,0,0.06,2.55,0.68,0.09,0,0,0.34,96.25,0.03,0.068,0,0.034
64,20,1846,10.83,13.4,1.52,13.4,77.83,0,5.33,0.12,0.91,0,0.89,17.38,11.96,9.85,2.229,4,28345,13492,14853,47.60,52.40,2115.30,22.07,15.48,74.24,2.53,20.36,6.09,6.23,82974,8.2974,7.783,0.533,0.091,1.738,1.196,0.985,1.52,13.62,77.65,0,5.3,0.12,0.91,0,0.89,7.765,0.53,0.091
65,0,57,0.00,547.4,0.24,2.79,0.05,0.06,78.97,17.14,0.75,0,0,69.75,50.03,46.35,0.054,1,326,180,146,55.21,44.79,0.60,19.63,25.77,96.32,0,0.92,0,5.88,29750,2.975,0.005,7.897,0.075,6.975,5.003,4.635,0.24,2.79,0.05,0.05,79.52,16.84,0.5,0,0,0.005,7.952,0.05
66,0,66,0.00,187.1,0.07,3.07,1.46,0.19,0,0,0.19,95.02,0,0.01,0,0,0.079,1,684,348,336,50.88,49.12,3.66,40.94,3.36,64.18,2.63,1.61,4.38,0.71,30139,3.0139,0.146,0,0.019,0.001,0,0,0.07,3.05,1.45,0.19,0,0,0.19,95.05,0,0.145,0,0.019
67,13,2490,5.22,17.2,0,5.76,31.16,1.48,0,0,2.48,59.12,0,0.16,0.01,0,0.532,3,17879,8944,8935,50.03,49.97,1039.48,39.68,8.6,71.01,0.97,8.05,4.2,6.12,56839,5.6839,3.116,0,0.248,0.016,0.001,0,0,5.85,28.62,1.63,0,0,3.04,60.86,0,2.862,0,0.304
68,1,92,10.87,323.7,0.84,1.23,2.03,4.11,53.87,20.14,11.16,5.86,0.77,30.7,4.63,3.34,0.143,1,1800,940,860,52.22,47.78,5.56,25.72,15.94,91.44,0.67,1.06,1.67,11.68,48214,4.8214,0.203,5.387,1.116,3.07,0.463,0.334,0.85,1.23,2.02,4.12,54.63,19.39,11.07,5.93,0.75,0.202,5.463,1.107
69,0,282,0.00,554.2,0.16,4.51,1.96,5.41,0,3.61,25.19,59.14,0.02,0.01,0,0,0.300,3,2243,1264,979,56.35,43.65,4.05,40.48,4.15,71.51,8.74,0.89,0.85,7.07,45893,4.5893,0.196,0,2.519,0.001,0,0,0.12,4.51,1.94,5.18,0,3.72,25.35,59.16,0.02,0.194,0,2.535
70,2,1142,1.75,203.8,8.77,3.67,4.59,0.28,1.18,0.58,52.51,26.71,1.72,1.24,0.79,0.3,0.260,2,13086,6813,6273,52.06,47.94,64.21,25.62,13.24,87.86,2.8,3.76,0.52,8.7,96674,9.6674,0.459,0.118,5.251,0.124,0.079,0.03,8.77,3.7,4.5,0.28,1.18,0.57,52.54,26.74,1.72,0.45,0.118,5.254
71,128,10509,12.18,171,0.34,17.26,34.74,0.08,0.18,39.87,5.73,0.96,0.83,0.78,0.63,0.4,0.929,4,151929,74422,77507,48.98,51.02,888.47,29.53,11.3,84.14,6.56,4.93,6.5,8.52,54263,5.4263,3.474,0.018,0.573,0.078,0.063,0.04,0.36,17.38,34.43,0.07,0.18,40,5.78,0.96,0.83,3.443,0.018,0.578
